,id,title,description,search_word,tags,viewCount,likeCount,favoriteCount,commentCount
10,lLYJdbZn_Ms,Political Divisions of India | With Memory Techniques by Ma&#39;am Richa  | English &amp; Hindi | All Exams,Politicaldivisions #parcham #parchamclasses #parchamgeography #parchampolity In this video we will learn about the various ...,indian politics,"political divisions,political map of india,political divisions of india,india political divisions,ssc,ntpc,rrb,ssc gd,upsc,ias,ips,ifs,reet,parcham,richa Ma'am,memory tricks",352049,12605,0,1028
11,NuNzdhAQDNc,A Close look at Indian politics beyond Modi &amp; BJP | ep 282,"CutTheClutter #CTC Political parties in India have started learning how to peacefully co-exist with India's political giant, the BJP.",indian politics,"ThePrint,cut the clutter,ctc,shekhar gupta,shekhar gupta ctc,arvind kejriwal,mamata banerjee,sondesh sweet recipe,indian politics",163694,1674,0,307
12,ghKGhEmE2kg,"| Indian Polity ( लोकतंत्र, गणराज्य, साम्यवाद ) By- Khan Sir | Khan GS Research Center |",Indianpolity #khangs #polity Indian Polity (Special Concept) By- Khan Sir | Khan GS Research Center Teacher - Khan Sir Address ...,indian politics,"indian,polity,democracy,communist,republic,Indian Polity,Indian Polity in hindi,Polity for SSC CGL,unacademy,Indian Polity for SSC CGL,Polity for SSC CGL in Hindi,Indian Polity for SSC CGL in Hindi,Indian Polity lectutes for SSC,Indian Polity Lectures in Hindi,Indian polity crash course,education,in hindi,Polity in hindi,SSC CGL 2018,SSC CGL 2018 Preparation",2159550,79596,0,1770
13,CkzDf8vZykU,Why Criminals Win Elections || Nitish Rajput,Instagram: https://www.instagram.com/nitishrajpute/ Facebook: https://www.facebook.com/nitishrajpute Twitter: ...,indian politics,"Nitish Rajput,nitishrajpute,Indian politics,Criminals in politics,Criminalization,criminals winning elections",821038,72903,0,3828
14,BBdXXWNtBmc,HOW INDIAN POLITICS WORKS (I Think) Reaction! | @J.J. McCullough,Reaction Gear: https://amzn.to/2QgTwk2 (affiliate link). Intro music by DAVIS Youtube - http://bit.ly/30OK7RR Spotify ...,indian politics,"anthony alba,jaby koay,jabykoay,jaby,achara kirk,achara,trailer,reaction",224436,9870,0,5138
15,GzoTVjBPt0g,"Indian Politics Important Questions|ଭାରତୀୟ ରାଜନୀତି ପ୍ରଶ୍ନ। GK Repeated Questions|ASO,OSSSC,SSC,SI,FG",Odisha History GK Part-7 https://youtu.be/hl8hpsmzc4U Odisha National Park And Wildlife Sanctuaries ...,indian politics,"political questions,Indian Politics,Indian Politics Important Questions,Indian politics gk,gk by Chinmaya Sir,gk by Chinmay sir,Chinmaya panda,static gk,politics gk quiz,Indian politics selected questions,Indian constitution questions,Indian constitution article questions,politics selected questions,gk by Chinmaya,OSSSC Combined Exam gk,ssc,ssc CHSL,ari amin gk,FG,SFS",63009,4586,0,302
16,SaYBDoh438M,"India at the center of world politics | Indian Diplomacy, Geopolitics, Foreign Policy","India has arrived at the center of world politics. In the last one month, Russia, United Kingdom, United States, China, Japan, ...",indian politics,"indian foreign policy,indian diplomacy,international relations,geopolitics,upsc,ias,nda,cds,ssccgl,india at the center of world politics",754293,25507,0,2666
17,-jLSabjkBog,POLITY : PARLIAMENT &amp; CONSTITUTION | Indian polity GK IN ENGLISH | Syllabus | SSC CGL CPO MTS GD BB,100POLITYGK#GK_IN_ENGLISH#IMP_gk_questions polity is a very important for all competitive exams... it play a very important ...,indian politics,"polity gk for ssc,polity gk,indian polity gk,polity,gk,polity parliament,polity constitution of india,polity constitution,gk in english,polity gk in english,ssc cgl polity questions,ssc cgl polity lecture in english,ssc,ssc cgl,ssc cpo,cpo,ssc gd,ssc mts,bb,bb ki vines,india gk in english,ssc cgl gk syllabus,ssc gk in english,ssc gd gk in english,ssc cpo syllabus,syllabus,mts,gd,constitution gk in english,ssc gd syllabus,ssc cgl syllabus",1283485,48748,0,75
18,qqZ_SH9N3Xo,Indian Elections | Patriot Act with Hasan Minhaj | Netflix,"On the latest episode of Patriot Act, Hasan analyzes the current state of politics in India and what it means to him as an ...",indian politics,"Patriot Act with Hasan Minhaj,Patriot Act,Hasan Minhaj,Netflix,Netflix Original Series,Netflix Series,Streaming,Television,Television Online,Comedy,Featured,Comedian,Hasan Minhaj Comedy,Hasan Minhaj Stand up,Global News,Politics,Late Night Comedy,Late Night Talk,Indian American,jokes,talk show,Indian Elections,latest episode,upcoming elections,Pakistan,Prime Minister Narendra Modi,Narendra Modi,Hindu nationalism,Hindu,Donald Trump,extremism,BJP",6822676,219857,0,35632
19,TXhSrKJ1ahk,Complete M Laxmikanth Indian Polity in 100 Parts by Dr Sidharth Arora | Crack UPSC CSE/IAS 2022/23,"In this session, Educator Sidharth Arora will be discussing about the Complete M Laxmikanth Indian Polity in 100 Parts for UPSC ...",indian politics,"upsc cse,m laxmikant polity 6th edition,upsc preparation,upsc,unacademy upsc,polity for upsc,m laxmikanth,polity for upsc cse,upsc live classes,lakshmikant for polity,siddharth arora,sidharth arora unacademy,complete laxmikanth summary for upsc,sidharth arora upsc cse,laxmikanth,complete polity by sidharth arora,laxmikanth introduction,sidharth arora polity,siddharth arora polity ncert,indian polity,indian polity for upsc 2022,upsc update today,upsc 2022",3563182,112246,0,2120
20,xETfeseo1Sw,"Indian Government [in Hindi] | Legislature, Executive, Judiciary | political science","Welcome to ""SSC CAMPUS"". Today i am going to explain you about - Indian Government | Structure Of Indian Government ...",indian politics,"SSC campus,gk trick,SSC cgl,''#ssccampus'',pricefunda,एसएससी कैंपस,Gk trick in Hindi,Important fact,Judiciary,न्यायपालिका,विधायिका,Legislature,Executive,How is power divided in the indian government,Structure Of Indian Government,Central And State,How Indian Government Works in Hindi,Indian Legislature,legislature executive and judiciary,judiciary system in india,judiciary preparation lectures,Indian Government,political science",1572933,60799,0,1127
21,qBDHf27AyYA,How has PM Modi changed Indian politics? | Talking Politics with Nistula Hebbar | The Hindu,"This week, Prime Minister Narendra Modi completes eight years at the helm of affairs at the Centre. His victory in 2014 ushered in ...",indian politics,"narendra modi,pm modi,modi,PM Modi,the hindu,the hindu videos,How has PM Modi changed Indian politics?,Talking Politics with Nistula Hebbar,Nistula Hebbar,prime minister narendra modi,eight years of modi,Bharatiya Janata Party,Congress,yogi adityanath,pm narendra modi speech",19262,607,0,176
22,CeZuyGkujWg,Indian Polity | Making of the Indian Constitution - Part 1 | Kani Murugan | Suresh IAS Academy,Indian Polity - Making of the Indian Constitution - Part 1 by Mr. P. Kani Murugan sir SURESH IAS ACADEMY TNPSC BANK TET ...,indian politics,,1335284,23271,0,970
23,aYAtJfmELKU,INDIAN POLITY IN ASSAMESE | ভাৰতীয় ৰাজনীতি অসমীয়াত | Indian Constitutional Development,INDIAN POLITY IN ASSAMESE | ভাৰতৰ ৰাজনীতি অসমীয়াত | Indian Constitutional Development ...,indian politics,"Assam Competitive Exam,Indian Polity in Assamese,indian Polity in assamese for apsc,indian Polity in assamese for pnrd,indian Polity in assamese for apdcl,indian Polity in assamese for assam police exam,indian Polity in assamese for assam police,indian Polity in assamese for assam secretariat,indian Polity in assamese for irrigation,indian Polity in assamese for cdpo,indian Polity in assamese for assam transport exam,indian Polity in assamese for assam tet",74717,4612,0,195
24,mtoByKX4MQM,Nepotism In Indian Politics | INC vs BJP - Who Wins? | Analysis by Akash Banerjee on The Deshbhakt,JOIN the DeshBhakt Channel to get acess to Exclusive Discord Server / Podcast and Interviews!,indian politics,"Akash Banerjee,akash,banerjee,bhakt banerjee,akash banerjee latest video,the deshbhakt,breaking news,education,funny video,hindi news,india,latest news,modi,quarantine,today news,comedy videos,latest videos,nepotism,BJP,Congress,parivarvaad,political dynasties,dynastic politics,regional parties,sushant singh rajput,nirmala sitharaman,anurag thakur,devendra fadnavis,udhav thackeray,rahul gandhi,piyush goyal,nehru,bollywood nepotism,star kids",545816,44802,0,3259
25,xYdvj28s6bk,Left vs Right: Which is best political ideology? | By Dhruv Rathee,"Leftists, Rightists, Communists, Socialists, Capitalists. You have all heard about these different political ideologies. In the video, I ...",indian politics,"Left,Right,Politics,Communist,Socialist,Capitalist,Journalism,India,Journalist,Leftist,Rightist,Communism,Socialism,Capitalism,Ideology,Political Ideologies,Left vs Right,Dhruv,Rathee,DhruvRathee,Dhruv Rathee,Dhruv Rathee Exposed,CPI,BJP,Modi,Congress,AAP,INC",1838598,72376,0,15613
26,sLZnAZynTmw,Funny Moments From The Lok Sabha Oath Taking Ceremony,The oath taking ceremony at the 17th Lok Sabha got a bit awkward. Brut India is the most-viewed digital video publisher in the ...,indian politics,"Brut,brut india,politics,Indian politics,India election,India general elections,India elections new,elections new,india news,India latest,India new,India latest news,India viral news Brut,India viral news,वीडियो,funny moments,funny parliament,funny indian parliament,funny indian politics,indian politics",9634213,116833,0,5783
27,BojsHpEjEbY,End of Congress and Direction of Indian Politics | Modi Era | Abhijit Iyer Mitra,"End of Congress - At the hour of what is virtually a mid-term election, Abhijit Iyer Mitra in this talk with Sanjay Dixit looks at the ...",indian politics,"end of congress,abhijit iyer mitra,Congress,abhijit iyer mitra latest,abhijit iyer mitra the jaipur dialogues,jaipur dialogues,the jaipur dialogues,abhijit iyer-mitra,sanjay dixit,jaipur dialogue,indian politics,जयपुर डायलॉग,jaipur dialogues sanjay dixit",210706,11456,0,813
28,tN0iyfob8-U,Dirty Secret of Indian Politics: Why is it full of criminals and gangsters?,Gangs of Wasseypur. Omakara. Raees. It's not just in the movies. 1 in 3 of our elected MPs have criminal cases against them.,indian politics,"India,Criminal,Politics,Gangster,Don,Bahubali,Gangs of Wasseypur,criminals in indian politics,Atiq ahmed,cases against politicians,politician rape,politician murder,Criminal MP,criminal mla,mukhtar ansari,netas,criminal netas,criminal politicians,elect criminals,mantri,apradhi mantri neta,why is indian politics dirty,indian gangsters,mirzapur,nexus crime politics,top 10 criminal,criminal india,Criminalisation,soch,news,current affairs,interview prep",302177,19727,0,1119
29,aRmHV0y46cc,Indian Parliament Explained in 5 Minutes | Why India adopted Parliamentary System? | Eclectic,We will see Why India adopted a Parliamentary system? in the first two Minutes. Then we will discuss the structure of Parliament ...,indian politics,"rahul gandhi,narendra modi,parliament of india,parliament of india structure,indian parliament,indian parliament explained,indian parliament explained in english,parliament,prime minister,president,subramanian swamy,why india adopted parliamentary democracy,why india adopted parliamentary system,politics,eclectic,how the decision are made in the indian parliament,lok sabha upsc,rajya sabha upsc,polity upsc lectures,upsc polity,polity parliament upsc",60905,1584,0,75
30,Fc7smfgEars,Maharashtra political crisis 2022 Explained under 9 minutes | Will Shivsena split?,So what is happening in Maharashtra politics? In this video we are going to understand everything in detail. #maharashtrapolitics ...,indian politics,"maharashtra political crisis 2022 explained,eknath shinde,uddhav thackeray,shivsena,indian politics,upsc,polity,ias,cds,nda,ssccgl",244250,13607,0,824
30,Fc7smfgEars,Maharashtra political crisis 2022 Explained under 9 minutes | Will Shivsena split?,So what is happening in Maharashtra politics? In this video we are going to understand everything in detail. #maharashtrapolitics ...,indian politics,"maharashtra political crisis 2022 explained,eknath shinde,uddhav thackeray,shivsena,indian politics,upsc,polity,ias,cds,nda,ssccgl",244250,13607,0,824
31,sy0T-M-4too,Indian Elections - Stand-up Comedy by Varun Grover,Elections 2019 mein alag hi level ka mazaak chal raha tha. Performed this bit in Aazaadi Tour in Mumbai in May 2019. Video shot ...,indian politics,"Abhishek Upmanyu,India,Comedy,Standup,Zakir Khan,Mallika Dua,EIC,AIB,Amit Tandon,Biswa Kalyan Rath,Kannan Gill,Modi,Rahul Gandhi,Sonia,Priyanka Gandhi,Kejriwal,Hema Malini",13144459,390712,0,15150
32,idgVD-51YZw,Politics in India - Part 2 | Stand-Up Comedy by Munawar Faruqui,SUBSCRIBE! New Videos Every Day! Connect with us on : ▻ Subscribe : http://www.youtube.com/judwaazmusic ▻ Follow us on ...,indian politics,,371561,20075,0,838
33,6OmvUGB_ORM,WHAT IS HORSE TRADING IN INDIAN POLITICS ?,"To download the PDF , Join our Telegram Group: - https://t.me/SleepyClasses OR To join our Free initiative, click on the link given ...",indian politics,"horse trading in politics meaning,what is horse trading in politics,horse trading,floor test meaning,what is floor test in politics,why horse trading is used in politics,horse trading word used in poltics,abp news,abp news live,abp live,live news hindi,hindi news live,live hindi news,live abp news,news in hindi live,maharashtra political crisis,psir optional,sleepy classes,sleepy classes psir optional,horse trading in politics,talon news tv hd,politics",5343,569,0,10
34,XyQsCnq4TS0,Kanhaiya Kumar Vs Tejasvi Surya | What Does Young India Want: Nationalism Or Jobs?,"In this special episode of Young India Debate, BJP's youngest candidate Tejasvi Surya and CPI's Kanhaiya Kumar of JNUSU ...",indian politics,"top news in english,latest news in english,Headlines Today,Indiatoday,India Today,kanhaiya kumar,kanhaiya kumar Begusarai,kanhaiya kumar india today,kanhaiya kumar debate,kanhaiya kumar vs te,kanhaiya kumar debate with rahul kanwal,tejasvi surya india today,tejasvi surya latest,tejasvi surya bjp,tejasvi surya news,kanhaiya,kanhaiya kumar lok sabha debate",6652862,89026,0,35533
35,wBA-Chu_BYE,Arvind Kejriwal Tells Truth of Indian Politics #PunjabElections #AAP #Shorts #ArvindKejriwal,Arvind Kejriwal Tells Truth of Indian Politics #PunjabElections #AAP #Shorts #ArvindKejriwal.,indian politics,"Arvind kejriwal,Kejriwal latest,Kejriwal latest speech,kejriwal shorts,arvind kejriwal shorts,aap shorts,aam aadmi party shorts",4146191,267136,0,2172
36,GOYWLBdgofk,CBSE Class 12 | Recent Development in Indian Politics | Full Chapter Explanation | Digraj Sir,Digraj Singh Rajput Sir will be discussing Class 12th - Political Science - Recent Development in Indian Politics. Digraj Sir will ...,indian politics,"sst,social school,social school by digraj singh rajput,cbse,ncert,digraj singh rajput,recent development in indian politics by digraj sir,digraj sir,ncert class 12 polity,development in indian politics,recent development in indian politics class 12,politics class 12,class 12 polity,class 12 ncert polity,ncert polity class 12,ncert polity,recent development in indian politics,political science,class 12 political science,recent developments in indian politics",41172,1547,0,228
37,IOtLL_mK-Sw,Pakistan Meddles In Indian Politics; Slams Owaisi For Being &#39;Vote Cutter For Congress&#39;,RepublicTV #PakistanMedia #IndianPolitics Pakistan Meddles In Indian Politics; Slams Owaisi For Being 'Vote Cutter For ...,indian politics,"Owaisi,Pakistan Media,Vote Cutter,India Politics,Pkaistan Media on India,Pak Media,Pak Media on Indian Politics",65270,0,0,267
38,0NCRnTV9uyY,ONE SHOT - Indian Politics (Trends &amp; Development)  | CBSE Class 12 | By Khushi Wasson,"One place for all your doubts in political science❤ See you all there! LIKE, SHARE & SUBSCRIBE Join our telegram group for all ...",indian politics,,16576,825,0,64
39,82pzDXpBdxY,Rajni Kothari | Major Political Ideas | Crash Course on Contemporary Thinkers of Indian Politics- 1,"Rajni Kothari is remembered as an institution builder and as a politically active public intellectual. Moreover, he endeavoured to ...",indian politics,"eduseeker,Rajni Kothari Political Ideas,Famous commentators on Indian Politics,Political Process in India,Indian Politics,Rajni Kothari Congress System,Ugc net political science,JNUEE,DUET,RPSC Political Science",20151,1252,0,97
40,5zxPJs6R2z8,Current Indian Politics | Jayaprakash Narayan | Talks at Google,"Dr. Jayaprakash Narayan will be giving a talk on current Indian politics, and how the citizens can get involved towards positive ...",indian politics,"talks at google,ted talks,inspirational talks,educational talks,Current Indian Politics,Jayaprakash Narayan,India,Indian government,global politics,India trade",280952,2942,0,194
41,rckzDcBHmUE,Maharashtra Political Crisis LIVE News | SC Order On Shinde Sena Vs Uddhav Sena | Supreme Court News,Maharashtra Political Crisis LIVE News | SC Hearing On Shinde Sena Vs Uddhav Sena | Maharashtra News Maharashtra Political ...,indian politics,"eknath shinde,eknath shinde camp,eknath shinde live,eknath shinde news,eknath shinde latest news,shinde,rebel eknath shinde,eknath shinde live today,eknath shinde guwahati,uddhav thackeray,uddhav thackeray live,uddhav thackeray today news,cm uddhav thackeray,cm uddhav,uddhav thackeray news,uddhav thackarey,udhhav in crisis,shinde supreme court,shinde camp supreme court,shiv sena sc hearing,sc hearing on maharashtra crisis,sc hearing on shinde plea",129831,538,0,13
42,Buv-j_E4aPU,So Sorry: Aa Dekhen Zara | Maharashtra Political Crisis | Eknath Shinde | India Today,This episode of So Sorry is based on the present Political Crisis in Maharashtra. Please do watch. Do write to us what you feel ...,indian politics,"so sorry,politoons,indian politics,aajtak,india today,bjp,congress,aap",202189,9270,0,199
43,3KCjR_Z1yak,INDIAN POLITICS TRENDS AND DEVELOPMENTS I Part 2 Class 12th Political Science I Chapter 9,Reference Material https://drive.google.com/file/d/1Zbl8yhi_aKZbTQw-xosbVCrOTs4D55Mv/view?usp=drivesdk Syllabus video ...,indian politics,"indian politics trends and developments,indian politics trends and development class 12,indian politics trends and development class 12 in hindi,indian politics trends and developments class 12,recent developments in indian politics,recent developments in indian politics in hindi,recent development in indian politics class 12,class 12 recent developments in indian politics,chapter 9 class 12th political science,class 12th political science ch9,ch9 polsc 12th class",10952,429,0,86
44,e3VtGEHI_kI,Polity important questions | Top 1000 Polity gk in hindi | Indian Polity &amp; Constitution | Gk Tricks,Polity important questions | Top 1000 Polity gk in hindi | Indian Polity & Constitution | Gk Tricks additional related and useful for- ...,indian politics,"polity gk questions and answers,polity gk in hindi,polity important questions,polity important articles,polity and constitution,polity and constitution mcq,polity and constitution crash course,polity 1000,polity 1000 questions,polity gk,polity most,polity most important questions,indian polity,indian polity by laxmikant,indian polity in hindi,indian polity & const,indian polity & constitution,polity,gk,polity tricks,polity tricks in hindi,polity gk tricks",1022203,44398,0,3174
45,zhic6mVGfec,Era of regional parties : Indian politics is changing on the grassroot level | Study Glows,"FOR QUERIES, CALL OR WHATSAPP @ 7007544717 Link for New channel Siddhant Agnihotri   ...",indian politics,"political process in india,indian politics,politics,india,social media in indian politics,india today,changing nature of indian state,changing nature of party system in india,changing india,politics of india,indian politics podcast,indian economy,india political history,india today headlines,siddhant sir,siddhant agnihotri,study glows,political parties,political parties in india,poltical parties in india,political parties class 10,political parties ncert",140206,5987,0,637
46,dog0yyRXbIs,CUET domain political science| Recent development in indian politics |CUET 2022 Free Class|Pawan Sir,subscribe @CUET MALVIYA ACADEMY HELPLINE Malviya Academy (BHU WORLD) : #7081690644 To Join Our Course Watch ...,indian politics,"Cuet free course,Cucet free course,cuet 2022 free class,cucet 2022 free class,cuet 2022 online course,cuet online course 2022,cucet online course 2022,cucet 2022 online course,join cuet 2022 online classes for free,join cucet 2022 online classes for free,cuet,cuet 2022,cucet 2022,cucet,cuect 2022,free cuet 2022 preparation,cuet b.com,cucet b.com,cuet b.com preparation,cuet accountancy,cucet accountancy,cuet Basics of Accounting,cucet Basics of Accounting",4954,363,0,33
47,Ver5_wkK1Wk,India - Political debate ends in punch up,(21 Oct 1997) T/I: 10:59:40 A political crisis in a key Indian state degenerated into pandemonium Tuesday (21/10) as politicians ...,indian politics,"AP Archive,w106059,35d091190f428b5a686bae5aad10ef58,DSSE4 PUNCH UP,asia,brawl,fighting,scuffles,politics,scandal,medical,casualties,India - Political debate ends in punch up,India,South Asia,Government and politics",691694,8491,0,1873
48,i6CmcDOoha0,Rahul Gandhi&#39;s statement which brought ripples in Indian politics | Hoonkar,"""...The single biggest strategic goal of India's foreign policy has been to keep Pakistan & China separate...You have brought ...",indian politics,"ABP Ganga,Hindi News,Breaking News,abp ganga live,abp news live,abp live,लाइव न्यूज़,abp news hindi live,Budget 2022 Date,Budget 2022,budget 2022 live,Budget,Union Budget 2022,Nirmala Sitharaman,budget 2022 time,2022 budget india,india budget,budget india 2022,budget 2022 date and time,union budget 2022 date,union budget,indian budget 2022,budget 2022 news,2022 budget date in india,new budget 2022,rahul Gandhi speech,rahul Gandhi narrative",2413,35,0,28
49,TMoAhkNDNeY,Role of Ethnicity in Indian Politics,"Here we've discussed Ethnicity, causes of Ethnic Movements, their impacts & effects and solutions to Ethnic challenges.",indian politics,"role of ethnicity in Indian politics,BPSC Erudition,BPSC erudition,political science for BPSC,political science for upsc,psir BPSC,psir upsc",1972,58,0,5
50,vYmyFV3r5Rg,🇮🇳  India: Is politics fueling attacks on Muslims?  | The Stream,"A wave of violent attacks on India's Muslim population has the community on edge. In recent weeks, hundreds of people have ...",indian politics,"al jazeera live,al jazeera english,al jazeera,Al Jazeera English,Al Jazeera,aljazeera English,aljazeera live,aljazeera live news,aljazeera latest,latest news,news headlines,al jazeera video,hate speech,Communal Violence,islamophobia,Muslims,Hindus,India religious violence,Modi,BJP,political rhetoric,political violence,India Supreme Court",183283,7048,0,2800
51,cHXtPcvOyqQ,Approaches to the Study of Indian Politics,Subject : Office Management and Secretarial Practice Course : Indian Politics and Governance Keyword : SWAYAMPRABHA.,indian politics,,24962,559,0,16
52,sxdG_zEk5pE,Indian Politics VS Pakistani Politics | Which Country Has More Political Stability? | Pak Reaction,INDIAN VS PAKISTANI POLITICS | Which Country Has More Political Stability INDIA OR PAKISTAN ? #india #pakistan ...,indian politics,"india vs pakistan,sana amjad,pakistani public reaction,political situation of pakistan,latest from pakistan,narendra modi vs imran khan,political unstability in pakistan,fuel prices increases in pakistan,INDIAN POLITICS VS PAKISTANI POLITICS,parshant dhawan,dd react,indian media latest,india vs pakistan country comparison,comparison between india and pakistan,pakistan country comparison,india vs pakistan 2022",45341,1478,0,485
53,0PZTNBrkrPM,BASIC POLITICAL KNOWLEDGE |  DELHI ON INDIAN POLITICS | JAAN PEHCHAAN POLITICS |,"With elections around, team Jaan Pehchaan went to various places in National Capital to check the BASIC POLITICAL ...",indian politics,"politics,political,bjp,congress,election,elections,modi,rahul gandhi,BSP,PM,President,India,Youth,Generalknowladge,Delhi,CP,Cannaught place,rajiv chowk,Delhi metro,election2019,23may,election result,live,Dhruv rathee,Akash Banerjee,basic political knowledge,Live news,Iq Level",69905,2077,0,103
54,Mmdqf1kOszE,Political Science Chapter 9 MCQ | Recent Developments in Indian Politics | भारतीय राजनीती नए बदलाव,Class 12 Political Science Chapter 9 MCQ | Recent Developments in Indian Politics | भारतीय राजनीती : नए ...,indian politics,"divi classes,sumit nagar,class 12 political chapter 9 in hindi,class 12 political science chapter 9 mcq,bharatiye rajniti naye badlav mcq question,12 class pol science chapter 9 mcq,Recent Developments in Indian Politics mcq,political science chapter 9 class 12 in hindi,political science class 12 chapter 9 2nd book,कक्षा 12 पाठ 9 भारतीय राजनीती : नए बदलाव mcq,कक्षा 12 राजनीति पाठ 9 mcq,भारतीय राजनीती नए बदलाव,राजनीति पाठ 9 कक्षा 12 भारतीय राजनीती नए बदलाव,Board Exam",1009,42,0,2
